0,295,111,94.97,0
0,295,111,74.97,0
0,249,89,54.97,0
0,116,126,54.97,1
0,100,105,34.97,1
0,431,428,94.97,0
0,404,328,74.97,0
0,391,211,54.97,0
1,379,99,29.27,0
0,200,339,74.97,1
0,100,149,54.97,1
1,100,149,22.7,1
0,399,465,94.97,0
0,163,149,74.97,0
1,67,0,24.84,0
1,200,210,27.35,1
1,100,210,7.35,1
0,298,192,54.96,0
0,307,70,88.7,0
0,454,460,74.97,0
0,454,460,54.97,0
1,371,360,35.3,0
1,338,260,15.3,0
0,376,200,74.97,0
0,432,200,54.97,0
0,109,200,74.96,0
0,320,461,96.38,1
0,116,366,76.38,1
0,184,280,74.96,1
1,80,180,33.08,1
1,28,147,24.94,1
1,28,147,4.94,1
0,283,204,74.96,1
0,183,204,54.96,1
0,100,100,34.96,1
0,100,40,14.96,1
0,180,146,89.95,1
1,200,305,35.98,1
1,200,305,15.98,1
0,200,93,9.96,0
0,395,412,89.96,1
0,395,412,69.96,1
0,200,290,49.96,1
1,200,290,27.16,1
1,100,290,7.16,1
0,471,200,49.96,0
0,371,200,29.96,0
1,171,100,33.49,0
1,112,0,13.49,0
0,282,200,52.62,0
0,103,76,32.62,0
1,100,76,30.66,0
1,13,0,10.66,0
0,478,268,89.96,1
1,207,212,31.16,1
1,100,427,6.62,1
0,344,156,89.96,0
0,200,100,49.96,0
1,200,262,35.15,1
0,279,371,90.98,0
1,189,106,28.52,0
1,189,0,8.52,0
0,322,381,69.95,1
0,100,200,29.95,1
0,452,493,69.95,1
1,163,193,27.77,1
1,10,0,7.77,1
0,200,97,69.95,0
0,200,97,49.95,0
0,200,208,84.69,1
0,13,108,64.69,1
1,13,100,35.27,1
0,321,337,49.95,0
0,315,237,29.95,0
0,408,292,83.14,0
0,408,292,63.14,0
0,200,163,89.96,0
1,108,120,25.39,0
0,473,100,28.52,0
1,257,0,15.09,0
1,200,366,33.39,1
1,200,366,13.39,1
1,200,254,26.98,1
1,200,254,6.98,1
1,200,379,28.51,1
1,200,379,8.51,1
0,288,331,89.96,1
0,263,331,69.96,1
0,188,331,49.96,1
1,188,331,37.96,1
1,188,331,17.96,1
0,281,438,69.96,1
0,153,182,69.96,1
1,71,88,37.9,1
1,100,149,8.09,1
0,270,200,69.96,0
0,270,200,49.96,0
0,104,100,29.96,0
0,104,100,9.96,0
1,174,349,39.92,1
1,174,249,19.92,1
0,100,297,69.96,1
0,273,120,89.95,0
1,273,31,30.12,0
1,273,0,10.12,0
0,481,420,89.95,0
0,481,420,69.95,0
